University,City,Country,CourseName,CourseDescription,StartDate,EndDate,Price,Currency
Voronezh State Agricultural University,Froly,Russia,Database Administrator IV,Multi-tiered human-resource challenge,2017-08-13,2017-09-08,8998.69,RUB
Fayoum University,Dayrūţ,Egypt,Account Coordinator,Networked fault-tolerant software,2017-01-12,2017-04-23,4709.74,EGP
Trent University,Sherwood Park,Canada,Senior Sales Associate,Managed mobile installation,2019-07-17,2019-12-13,4835.73,CAD
Beijing University of Aeronautics and Astronautics,Baiguo,China,Biostatistician I,Down-sized high-level internet solution,2016-05-03,2016-07-15,4039.74,CNY
Tokyo Keizai University,Kariya,Japan,Analyst Programmer,Right-sized solution-oriented service-desk,2017-06-28,2017-08-14,4869.24,JPY
Universidad de San Pedro Sula,El Triunfo de la Cruz,Honduras,General Manager,User-centric bi-directional help-desk,2017-11-22,2018-03-30,9341.32,HNL
University of Jinan,Runsonglaozhai,China,Administrative Assistant IV,Ergonomic clear-thinking info-mediaries,2018-04-24,2018-06-05,7269.81,CNY
Ashton College,Miramichi,Canada,Food Chemist,Focused demand-driven algorithm,2018-09-14,2019-02-11,280.85,CAD
Universitas Jenderal Soedirman,Karoya,Indonesia,Systems Administrator III,Innovative fault-tolerant local area network,2018-12-21,2019-02-01,1844.6,IDR
Universidad Experimental Felix Adam,Constanza,Dominican Republic,Marketing Assistant,Phased asynchronous hardware,2016-09-11,2016-09-26,9363.56,DOP
Guangzhou University,Hetou,China,Senior Editor,Cloned even-keeled customer loyalty,2018-05-06,2018-09-09,5278.76,CNY
Shanghai University of Traditional Chinese Medicine and Pharmacology,Zhoukoudian,China,Assistant Professor,Ameliorated regional paradigm,2018-09-14,2019-04-09,5959.62,CNY
Yangzhou University,Zhoujia,China,Analog Circuit Design manager,Reduced coherent task-force,2017-10-11,2018-05-11,5282.61,CNY
University of Science and Technology of China,Taoxi,China,Sales Representative,Robust bifurcated productivity,2016-05-24,2016-10-06,8793.25,CNY
Hehai University,Xinxu,China,Chemical Engineer,Right-sized multi-state archive,2018-06-05,2018-07-02,1187.68,CNY
Tiraspol State University,Criuleni,Moldova,Staff Accountant II,Versatile heuristic productivity,2016-11-20,2017-06-25,9794.32,MDL
Instituto Politécnico de Setúbal,Cercal,Portugal,Programmer IV,Proactive contextually-based Graphical User Interface,2019-12-06,2020-03-09,5196.2,EUR
Sauder School of Business,Harbour Breton,Canada,Engineer III,Open-source 24 hour intranet,2018-05-12,2018-09-17,5170.42,CAD
Academy of Economics in Katowice,Lubenia,Poland,Pharmacist,Polarised eco-centric hardware,2019-09-02,2019-11-20,4328.66,PLN
Hebei United University,Yaodian,China,Quality Control Specialist,Horizontal maximized infrastructure,2018-07-16,2018-09-13,9220.6,CNY
Chongqing Normal University Foreign Trade and Business College,Acheng,China,Statistician III,Persistent interactive access,2018-11-15,2019-04-07,3371.54,CNY
Institute of Space Technology,Kālābāgh,Pakistan,Chief Design Engineer,Monitored empowering solution,2018-11-09,2019-03-20,6898.01,PKR
Burjat State University,Drakino,Russia,Automation Specialist II,Robust maximized hierarchy,2017-03-06,2017-03-29,3926.35,RUB
University of lloilo,Lusong,Philippines,Director of Sales,Devolved client-driven knowledge user,2016-11-02,2017-06-02,9148.51,PHP
Universidad Autónoma del Estado de México,Petrolera,Mexico,Human Resources Assistant III,Centralized holistic access,2017-06-12,2017-07-23,413.71,MXN
Universidad Externado de Colombia,Marulanda,Colombia,Programmer Analyst I,Fully-configurable demand-driven software,2018-01-14,2018-06-07,7643.02,COP
University of Fine Arts Belgrade,Begejci,Serbia,VP Sales,Compatible object-oriented synergy,2019-02-25,2019-09-20,9906.69,RSD
University of Auckland,Taupo,New Zealand,Research Assistant III,Adaptive system-worthy capability,2019-05-08,2019-06-03,2643.64,NZD
International Hellenic University,Firá,Greece,Human Resources Assistant III,Operative leading edge challenge,2019-11-14,2020-02-03,8912.07,EUR
Universitas Syiah Kuala,Cibunar,Indonesia,Administrative Assistant IV,Open-source incremental secured line,2017-05-31,2017-11-18,2916.79,IDR
Universitas Syiah Kuala,Cimara,Indonesia,Associate Professor,Ameliorated even-keeled application,2017-06-04,2018-01-01,793.75,IDR
University of Nijenrode,Zwolle,Netherlands,Pharmacist,Realigned mobile algorithm,2019-08-31,2020-04-02,4056.57,EUR
